# wavelength [A] & intensity
4500.315011	1.0000000000
4500.337513	1.0000000000
4500.360014	1.0000000000
4500.382516	1.0000000000
4500.405018	1.0000000000
4500.427520	1.0000000000
4500.450023	1.0000000000
4500.472525	1.0000000000
4500.495027	1.0000000000
4500.517530	1.0000000000
4500.540032	1.0000000000
4500.562535	1.0000000000
4500.585038	1.0000000000
4500.607541	1.0000000000
4500.630044	1.0000000000
4500.652547	1.0000000000
4500.675051	1.0000000000
4500.697554	1.0000000000
4500.720058	1.0000000000
4500.742561	1.0000000000
4500.765065	1.0000000000
4500.787569	1.0000000000
4500.810073	1.0000000000
4500.832577	1.0000000000
4500.855081	1.0000000000
4500.877586	1.0000000000
4500.900090	1.0000000000
4500.922595	1.0000000000
4500.945099	1.0000000000
4500.967604	1.0000000000
4500.990109	1.0000000000
4501.012614	1.0000000000
4501.035119	1.0000000000
4501.057624	1.0000000000
4501.080130	1.0000000000
4501.102635	1.0000000000
4501.125141	1.0000000000
4501.147646	1.0000000000
4501.170152	1.0000000000
4501.192658	1.0000000000
4501.215164	1.0000000000
4501.237670	1.0000000000
4501.260176	1.0000000000
4501.282683	1.0000000000
4501.305189	1.0000000000
4501.327696	1.0000000000
4501.350203	1.0000000000
4501.372709	1.0000000000
4501.395216	1.0000000000
4501.417723	1.0000000000
4501.440230	1.0000000000
4501.462738	1.0000000000
4501.485245	1.0000000000
4501.507753	1.0000000000
4501.530260	1.0000000000
4501.552768	1.0000000000
4501.575276	1.0000000000
4501.597784	1.0000000000
4501.620292	1.0000000000
4501.642800	1.0000000000
4501.665308	1.0000000000
4501.687816	1.0000000000
4501.710325	1.0000000000
4501.732834	1.0000000000
4501.755342	1.0000000000
4501.777851	1.0000000000
4501.800360	1.0000000000
4501.822869	1.0000000000
4501.845378	1.0000000000
4501.867888	1.0000000000
4501.890397	1.0000000000
4501.912906	1.0000000000
4501.935416	1.0000000000
4501.957926	1.0000000000
4501.980436	1.0000000000
4502.002946	1.0000000000
4502.025456	1.0000000000
4502.047966	1.0000000000
4502.070476	1.0000000000
4502.092987	1.0000000000
4502.115497	1.0000000000
4502.138008	1.0000000000
4502.160518	1.0000000000
4502.183029	1.0000000000
4502.205540	1.0000000000
4502.228051	1.0000000000
4502.250563	1.0000000000
4502.273074	1.0000000000
4502.295585	1.0000000000
4502.318097	1.0000000000
4502.340609	1.0000000000
4502.363120	1.0000000000
4502.385632	1.0000000000
4502.408144	1.0000000000
4502.430656	1.0000000000
4502.453168	1.0000000000
4502.475681	1.0000000000
4502.498193	1.0000000000
4502.520706	1.0000000000
4502.543218	1.0000000000
4502.565731	1.0000000000
4502.588244	1.0000000000
4502.610757	1.0000000000
4502.633270	1.0000000000
4502.655783	1.0000000000
4502.678297	1.0000000000
4502.700810	1.0000000000
4502.723324	1.0000000000
4502.745837	1.0000000000
4502.768351	1.0000000000
4502.790865	1.0000000000
4502.813379	1.0000000000
4502.835893	1.0000000000
4502.858407	1.0000000000
4502.880922	1.0000000000
