# file name	old corr [km/s]	new corr [km/s]
ktc00219.asc	-1.33	-1.34
ktc00220.asc	-1.33	-1.23
ktc00223.asc	-1.34	-1.35
ktc00235.asc	-2.14	-2.27
ktc00241.asc	-2.40	-2.41
ktc00242.asc	-2.41	-2.44
ktc00244.asc	-12.18	-12.25
ktc00245.asc	-12.18	-12.20
ktc00246.asc	-12.19	-12.24
ktc00247.asc	-12.19	-12.26
ktc00248.asc	-12.19	-12.14
ktc00264.asc	-14.08	-14.05
ktc00265.asc	-14.09	-14.14
ktc00266.asc	-14.09	-14.19
ktc00267.asc	-14.09	-14.13
ktc00268.asc	-14.09	-14.05
ktc00269.asc	-14.41	-14.51
ktc00270.asc	-14.41	-14.42
ktc00271.asc	-14.42	-14.43
ktc00272.asc	-14.42	-14.40
ktc00273.asc	-14.42	-14.39
ktc00274.asc	-14.81	-14.69
ktc00277.asc	-14.82	-14.75
ktc00278.asc	-14.82	-14.76
ktc00279.asc	-15.09	-15.00
ktc00280.asc	-15.09	-14.97
ktc00281.asc	-15.09	-15.02
ktc00282.asc	-15.09	-15.00
ktc00283.asc	-15.09	-15.03
ktc00284.asc	-15.14	-15.08
ktc00285.asc	-15.14	-15.04
ktc00286.asc	-15.14	-15.00
ktc00287.asc	-15.15	-15.02
ktc00288.asc	-15.15	-15.08
ktc00289.asc	-15.41	-15.40
ktc00290.asc	-15.41	-15.40
ktc00291.asc	-15.41	-15.33
ktc00292.asc	-15.41	-15.32
ktc00293.asc	-15.41	-15.37
ktc00294.asc	-15.65	-15.75
ktc00295.asc	-15.66	-15.75
ktc00296.asc	-15.66	-15.69
ktc00297.asc	-15.66	-15.76
ktc00298.asc	-15.66	-15.79
ktc00299.asc	-15.94	-15.93
ktc00300.asc	-15.94	-15.88
ktc00301.asc	-15.94	-15.99
ktc00302.asc	-15.95	-15.96
ktc00303.asc	-15.95	-15.92
ktc00304.asc	-16.36	-16.44
ktc00305.asc	-16.36	-16.47
ktc00306.asc	-16.36	-16.42
ktc00307.asc	-16.37	-16.48
ktc00308.asc	-16.37	-16.44
ktc00309.asc	-16.60	-16.60
ktc00310.asc	-16.61	-16.59
ktc00311.asc	-16.61	-16.70
ktc00312.asc	-16.61	-16.68
ktc00313.asc	-16.61	-16.67
ktc00314.asc	-27.03	-27.06
ktc00315.asc	-27.03	-27.05
ktc00316.asc	-27.03	-27.02
ktc00317.asc	-27.03	-26.89
ktc00318.asc	-27.04	-27.00
ktc00319.asc	-27.35	-27.30
ktc00320.asc	-27.36	-27.49
ktc00321.asc	-27.36	-27.30
ktc00322.asc	-27.36	-27.44
ktc00323.asc	-27.36	-27.45
ktc00324.asc	-27.52	-27.51
ktc00325.asc	-27.52	-27.45
ktc00326.asc	-27.52	-27.43
ktc00327.asc	-27.52	-27.52
ktc00328.asc	-27.52	-27.47
ktc00329.asc	-27.65	-27.72
ktc00330.asc	-27.65	-27.78
ktc00331.asc	-27.65	-27.75
ktc00332.asc	-27.65	-27.67
ktc00333.asc	-27.65	-27.69
ktc00334.asc	-27.80	-27.82
ktc00335.asc	-27.80	-27.84
ktc00336.asc	-27.81	-27.88
ktc00337.asc	-27.81	-27.86
ktc00338.asc	-27.81	-27.75
ktc00339.asc	-28.09	-28.16
ktc00340.asc	-28.09	-28.13
ktc00341.asc	-28.10	-28.20
ktc00342.asc	-28.10	-28.20
ktc00343.asc	-28.10	-28.31
ktc00346.asc	-28.36	-28.33
ktc00347.asc	-28.36	-28.37
